model_short,attack,count,mean,std,min,25%,50%,75%,max
Llama-3.1-8B-Instruct,Completion,103.0,0.1048783607853269,0.16304792637684382,0.0001583099365234375,0.0023345947265625,0.0439453125,0.11962890625,0.71484375
Llama-3.1-8B-Instruct,Ignore-Completion,103.0,0.21317780989864207,0.37662020502977595,6.845220923423767e-08,8.940696716308594e-06,0.00145721435546875,0.169921875,1.0
Llama-3.1-8B-Instruct,LLM-Attacks Suffix 1,104.0,0.49622785128079927,0.4088925831872084,0.004486083984375,0.06689453125,0.345703125,0.9375,0.99609375
Llama-3.1-8B-Instruct,Ignore,104.0,0.5709240266990562,0.4326718248194345,4.1443854570388794e-08,0.0032806396484375,0.77734375,0.9765625,1.0
Llama-3.1-8B-Instruct,Superuser,101.0,0.5999972655041383,0.40708810899378634,0.00150299072265625,0.123046875,0.734375,0.9921875,1.0
Llama-3.1-8B-Instruct,StruQ Suffix 2,102.0,0.6200974408318015,0.4198402823685724,0.00396728515625,0.0850830078125,0.87890625,0.984375,1.0
Llama-3.1-8B-Instruct,StruQ Suffix 1,103.0,0.6302256908231568,0.4327061037382332,0.00099945068359375,0.04931640625,0.9375,0.98828125,1.0
Llama-3.2-3B-Instruct,Completion,60.0,0.06794437269369762,0.23380922006526814,1.0788440704345703e-05,0.00013589859008789062,0.0004730224609375,0.00589752197265625,0.98046875
Llama-3.2-3B-Instruct,Ignore-Completion,59.0,0.0789069303990168,0.22045556887929224,7.729977369308472e-08,1.895427703857422e-05,0.0002460479736328125,0.013427734375,0.91796875
Llama-3.2-3B-Instruct,Ignore,57.0,0.33620012768344104,0.44482080045006306,4.3655745685100555e-09,0.0002307891845703125,0.015625,0.94140625,1.0
Llama-3.2-3B-Instruct,Superuser,60.0,0.3463509638483326,0.40297665647503333,4.731118679046631e-07,0.003162384033203125,0.04833984375,0.72265625,0.9921875
Llama-3.2-3B-Instruct,LLM-Attacks Suffix 1,60.0,0.5631732940673828,0.39342383388999336,1.6689300537109375e-05,0.10888671875,0.685546875,0.9462890625,0.9921875
Llama-3.2-3B-Instruct,LLM-Attacks Suffix 3,59.0,0.5949658377695892,0.401617779637422,1.3709068298339844e-06,0.0771484375,0.68359375,0.98046875,0.99609375
Llama-3.2-3B-Instruct,StruQ Suffix 1,62.0,0.6013722688921036,0.4047263724006199,5.4836273193359375e-05,0.1923828125,0.783203125,0.98046875,0.99609375
Llama-3.2-3B-Instruct,StruQ Suffix 2,62.0,0.6056152312986313,0.41071568240883327,9.632110595703125e-05,0.1082763671875,0.8671875,0.978515625,0.9921875
Qwen2.5-7B-Instruct,Completion,54.0,0.08464781657137253,0.1864535971346424,7.338821887969971e-07,1.4856457710266113e-05,0.0005130767822265625,0.0340576171875,0.72265625
Qwen2.5-7B-Instruct,Ignore-Completion,52.0,0.3010124593745506,0.42897450793620057,2.455635694786906e-10,1.1996598914265633e-07,0.002899169921875,0.830078125,1.0
Qwen3-8B,Completion,46.0,0.1853146137430525,0.3596077236397476,6.693881005048752e-10,1.4333054423332214e-06,0.001251220703125,0.0537109375,1.0
Qwen3-8B,Ignore-Completion,52.0,0.2952311140201504,0.44411586253255764,2.439454888092385e-17,2.5289992322541366e-11,3.77558171749115e-05,0.9873046875,1.0
